image_id	filename	label	path	mean_r	mean_g	mean_b	std_r	std_g	std_b	mean_intensity	std_intensity	entropy	edge_density	nuclei_count	nuclei_density	nuclear_area_fraction	mean_nucleus_area	median_nucleus_area	std_nucleus_area	mean_nucleus_eccentricity	mean_nucleus_solidity	mean_nucleus_perimeter	dist_norm	dist_tum	progression_score	UMAP1	UMAP2
NORM-TCGA-AASSYQPA	NORM-TCGA-AASSYQPA.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AASSYQPA.tif	211.4699856505102	172.2283163265306	202.34665975765307	39.87978657415369	62.86248335041792	43.593130344549856	195.34832057823127	48.1960486564401	4.8616572029999086	0.1000079719387755	35	0.0006975446428571	0.1358816964285714	194.8	69.0	332.85636541907985	0.8636765802421226	0.7089472039363973	72.06448872873547	4.585442503504429	6.315803035211886	0.42063473272104573	11.030163	3.127392
NORM-TCGA-ACCEDPAW	NORM-TCGA-ACCEDPAW.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ACCEDPAW.tif	195.2410913584184	149.24934231505102	188.8865393813776	42.146619582217646	53.13891127102026	38.7297802200171	177.79232435161566	44.32718798502104	5.116265141974587	0.1000079719387755	66	0.0013153698979591	0.2088847257653061	158.8030303030303	70.5	259.2104690469591	0.8268648553622737	0.7766223121998906	64.12449546113142	1.4672301627250184	4.342552930331772	0.25254474034985736	9.791365	1.418565
NORM-TCGA-ACEQSEEM	NORM-TCGA-ACEQSEEM.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ACEQSEEM.tif	181.7062539859694	123.40365911989797	169.63448660714286	44.80944753907994	55.41866042654845	41.743911401757806	158.2481332376701	46.73544501274251	5.180391135032409	0.0999880420918367	54	0.0010762117346938	0.3107063137755102	288.7037037037037	108.5	741.587602018645	0.8542299939296022	0.7861961045121364	98.51114178174582	2.1687110150977227	2.9621357864036795	0.42268091389185675	5.9844313	1.1002167
NORM-TCGA-ADFIIYIC	NORM-TCGA-ADFIIYIC.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ADFIIYIC.tif	176.3254942602041	119.49274553571428	165.18399234693877	43.89122024414151	53.60560802492812	41.42603454523253	153.6674107142857	45.74383364434534	5.178028872433438	0.1000079719387755	58	0.0011559311224489	0.2718032525510204	235.1379310344828	88.5	593.3303856135054	0.8470232817189056	0.7627788910034924	90.01187796462612	2.054185770734558	2.5529355714927364	0.4458718618731821	7.020281	3.5049841
NORM-TCGA-ADVTWHRS	NORM-TCGA-ADVTWHRS.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ADVTWHRS.tif	207.39028619260205	162.91039540816325	195.0343391262755	41.13745033837417	64.43887990196347	45.54746124602704	188.4450069090136	49.6761362377315	4.95906537224228	0.0999880420918367	52	0.0010363520408163	0.1433354591836734	138.30769230769232	93.0	165.17444606577644	0.8410160778659844	0.7550985646227379	66.48942512318854	3.3745702085838785	5.705375684247235	0.3716509160311409	10.672689	2.403624
NORM-TCGA-AEGEATCF	NORM-TCGA-AEGEATCF.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AEGEATCF.tif	183.96418606505105	126.6522839604592	170.0178372130102	46.17938854495908	63.50855111728109	46.26586209216279	160.21143574617346	51.39088428658901	5.174173902913443	0.1000079719387755	41	0.0008171237244897	0.3301777742346938	404.0731707317073	109.0	936.3243494265066	0.8123964469031709	0.7266080019119293	136.56898859158795	2.60537830665866	2.9680552294696056	0.4674637796916397	7.248832	5.384156
NORM-TCGA-AERRFAKV	NORM-TCGA-AERRFAKV.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AERRFAKV.tif	186.01801658163265	126.02993463010203	172.51514668367346	40.76264547308002	48.52567949483838	36.0996653118695	161.52103263180274	41.27985852441054	5.1019462467344345	0.1000079719387755	98	0.001953125	0.2901785714285714	148.57142857142858	72.5	241.13367450356623	0.7752851624352137	0.8282464649008787	56.76261886901091	3.0998257953380035	4.64103796252568	0.40044959998023405	8.792852	-0.83109033
NORM-TCGA-AFDFLMWV	NORM-TCGA-AFDFLMWV.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AFDFLMWV.tif	194.0578762755102	144.62260841836735	184.4388950892857	43.47720526180989	59.42411833006736	43.04399155643915	174.3731265943878	48.066321193439805	5.161144123840908	0.0999880420918367	70	0.0013950892857142	0.2125518176020408	152.35714285714286	72.0	294.3714871535278	0.8037220816315374	0.7889656591317625	65.04050088836293	1.7343720884208558	4.579790281844093	0.2746796782718908	7.701727	0.26369625
NORM-TCGA-AFFFQQST	NORM-TCGA-AFFFQQST.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AFFFQQST.tif	183.6891541772959	133.56030771683675	183.51524633290816	43.67084465117089	55.5719000860891	39.29247261687412	166.9215694090136	45.73646811686595	5.126804177945802	0.1000079719387755	40	0.000797193877551	0.3298588966836734	413.775	76.5	1175.5009036045017	0.8456958215902468	0.7309749352356556	130.74696961966998	2.1273408466414687	2.5634556188844346	0.453513782206486	8.085791	4.4792113
NORM-TCGA-AGLINTRE	NORM-TCGA-AGLINTRE.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AGLINTRE.tif	187.1037149234694	125.3249362244898	170.3717115752551	39.67649249456512	52.15082808139306	38.68994436066168	160.93345424107144	42.79397086580556	5.116554122142196	0.1000079719387755	62	0.001235650510204	0.291812818877551	236.16129032258064	147.0	380.7713391198309	0.8471756278273342	0.7146885726246198	99.27648076577744	1.8127170719921677	2.366949611223553	0.43369895481653886	6.6207843	3.7528872
NORM-TCGA-AIMANAKC	NORM-TCGA-AIMANAKC.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AIMANAKC.tif	179.1739875637755	117.28121014030611	165.7191087372449	43.5260574775546	52.32563711988988	38.77204491392853	154.05810214710883	44.260160015795	5.119075547624048	0.1000079719387755	58	0.0011559311224489	0.3457429846938775	299.1034482758621	85.5	791.9296531292098	0.7808939067829274	0.7817374473925585	90.69519637207188	2.451287011128537	2.6502569027030534	0.48049905137197213	7.1589174	3.0342045
NORM-TCGA-AKRKNWMN	NORM-TCGA-AKRKNWMN.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AKRKNWMN.tif	202.08982382015307	156.3244778380102	192.0332629145408	42.61510667270441	65.04670677924626	45.184070609565495	183.4825215242347	50.37548495271143	5.00301323438059	0.1000079719387755	28	0.0005580357142857	0.2050382653061224	367.4285714285714	50.0	1142.0088324830888	0.8131079303399872	0.7435330933245641	114.5118325492567	3.2679940119079727	4.907485091155577	0.3997311925955968	9.957657	3.9008372
NORM-TCGA-AKWQGPSR	NORM-TCGA-AKWQGPSR.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-AKWQGPSR.tif	177.58286830357142	117.3530572385204	164.51000478316325	42.61431285692323	49.46920476423662	38.43011091703536	153.14864344175172	43.06915645446048	5.117360442230841	0.1000079719387755	50	0.0009964923469387	0.2844786352040816	285.48	54.5	994.2656634924087	0.8645327910904618	0.7725999185753019	86.7753599797379	2.5260560034113864	2.337996809744687	0.5193315328688501	6.661296	3.7171178
NORM-TCGA-ALKAHTVQ	NORM-TCGA-ALKAHTVQ.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ALKAHTVQ.tif	174.6221301020408	108.4528659119898	158.76745854591837	41.46250091970137	47.76317202655684	36.32312368368807	147.28081818664964	41.20425794773124	5.07073534275967	0.1000079719387755	59	0.0011758609693877	0.3290617028061224	279.8474576271187	86.0	607.6087002858236	0.8630884890848276	0.7398728287004211	93.39710232743212	3.200730912476289	2.0507846987572953	0.6094870794308531	6.111549	3.6386328
NORM-TCGA-ALLNPHNM	NORM-TCGA-ALLNPHNM.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ALLNPHNM.tif	186.5687579719388	129.7957987882653	175.12838807397958	42.429372489966376	50.99365834937096	37.490355616749184	163.83098161139455	43.129466865799934	5.13874881476861	0.0999880420918367	104	0.0020727040816326	0.2692522321428571	129.90384615384616	95.5	122.27385084551692	0.7822327134031765	0.8199074608634991	53.65490652101563	3.139350931989996	4.958598420389213	0.38767233473344	8.20475	-0.48563856
NORM-TCGA-ANIPDWQD	NORM-TCGA-ANIPDWQD.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ANIPDWQD.tif	180.3782884247449	114.66352439413264	163.0559231505102	40.737125169751735	49.72363840354303	37.20350289131925	152.69924532312928	41.85303247741391	5.091316410838994	0.1000079719387755	57	0.0011360012755102	0.3243781887755102	285.5438596491228	92.0	683.5891109707165	0.8095747079053515	0.7754496195661916	104.17511196300424	2.389597642772118	2.1470047084833053	0.5267372931883351	6.496893	3.1489792
NORM-TCGA-ANPHWIPR	NORM-TCGA-ANPHWIPR.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ANPHWIPR.tif	197.37852758290816	147.00526147959184	187.4140027104592	38.77141638511557	51.19400574199308	36.75529930904963	177.2659305909864	41.81268685608982	5.072849490763789	0.0999880420918367	65	0.0012954400510204	0.1860251913265306	143.6	72.0	150.59071378050865	0.8044655030368776	0.7865812595089355	59.06359137406138	2.2276462863758058	4.616227438460776	0.32549494276781055	7.9725466	0.570135
NORM-TCGA-ANQQGNFL	NORM-TCGA-ANQQGNFL.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ANQQGNFL.tif	191.19740513392856	139.09665975765307	180.3303571428572	43.275023197863206	56.96745736807188	42.06613305715957	170.20814067814624	46.841000595720615	5.186130339838616	0.0999880420918367	83	0.0016541772959183	0.2086455676020408	126.13253012048192	83.0	147.51187586124894	0.7994463721574997	0.7954032785270919	56.39901551099206	1.936729442283438	4.644436337471453	0.29428364321732214	7.6843886	0.04604837
NORM-TCGA-ANSRKEYR	NORM-TCGA-ANSRKEYR.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-ANSRKEYR.tif	182.24509725765307	122.82380022321428	167.8085339604592	45.28949842698597	58.876093587136566	44.06227827455388	157.6258104804422	48.81855249599644	5.203025385890527	0.1000079719387755	44	0.0008769132653061	0.3170838647959184	361.59090909090907	55.5	856.4727963143058	0.88155360449867	0.7269266127642465	135.90786018148427	2.8565499330177246	2.878764268380246	0.4980633724167102	7.153141	4.7289844
NORM-TCGA-APMDKPAV	NORM-TCGA-APMDKPAV.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-APMDKPAV.tif	199.3554089604592	153.05480707908163	190.4476841517857	40.09492458354119	57.91892219440141	40.77969386518553	180.95263339710883	45.77130177343695	5.107935395618666	0.1000079719387755	53	0.0010562818877551	0.18359375	173.81132075471697	87.0	273.6156963805308	0.7563581718465596	0.8028251205731836	73.42443160429673	2.840856481447637	5.282743495269861	0.3497041323538363	10.3172245	0.83469677
NORM-TCGA-APSNTVTS	NORM-TCGA-APSNTVTS.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-APSNTVTS.tif	172.95334422831633	120.67117745535714	173.91990194515307	44.19370702723548	52.38366182393991	39.57792076574539	155.84814120960883	45.00920062005221	5.145485699538588	0.1000079719387755	59	0.0011758609693877	0.3886120854591837	330.49152542372883	103.0	754.068251482771	0.7868077959687511	0.7849613097184378	94.19183781334472	2.514281905095572	2.7737968260908468	0.4754622676602008	7.39123	2.9929903
NORM-TCGA-APWMYEPT	NORM-TCGA-APWMYEPT.tif	NORM	data/raw/crc_val_7k/CRC-VAL-HE-7K/NORM/NORM-TCGA-APWMYEPT.tif	211.6967075892857	167.94391741071428	200.9746890943877	33.38799098427688	53.830004342358	37.3372205394377	193.53843803146256	40.86764957432413	4.953257104362642	0.1000079719387755	34	0.0006776147959183	0.1071029974489796	158.05882352941177	39.0	535.3712807991275	0.9082728519522372	0.6509797731554843	67.26877383762128	5.548189582081714	6.703229268282069	0.45286098286623927	11.304131	3.2368019
