image_id	filename	label	path	mean_r	mean_g	mean_b	std_r	std_g	std_b	mean_intensity	std_intensity	entropy	edge_density	nuclei_count	nuclei_density	nuclear_area_fraction	mean_nucleus_area	median_nucleus_area	std_nucleus_area	mean_nucleus_eccentricity	mean_nucleus_solidity	mean_nucleus_perimeter	PC1	PC2	UMAP1	UMAP2
LYM-TCGA-AAWGSCHH	LYM-TCGA-AAWGSCHH.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AAWGSCHH.tif	227.0105428890306	201.9749681122449	220.76502710459184	33.93442190595139	52.73458216322668	36.30626561988141	216.58351270195573	40.69577534759168	4.183600477896329	0.1000079719387755	71	0.001415019132653	0.0870336415816326	61.50704225352113	60.0	26.63148260798905	0.6188274415250955	0.8871395038649739	29.338889380462646	5.188849768316481	-1.5990943268867037	-5.405338	5.271155
LYM-TCGA-AFIDYMYA	LYM-TCGA-AFIDYMYA.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AFIDYMYA.tif	196.2100207270408	157.28061224489795	190.1416613520408	51.7453708311664	70.40024074585354	51.137879212499165	181.21076477465985	57.45160987718175	5.12651295560393	0.1000079719387755	192	0.0038265306122448	0.2868901466836734	74.97395833333333	67.0	38.835716338163046	0.6252139907192814	0.880277630487202	34.07369789673783	5.799390196439744	1.7276842471815628	-1.6250951	5.6211243
LYM-TCGA-AFILHSCE	LYM-TCGA-AFILHSCE.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AFILHSCE.tif	165.6871412627551	107.83075573979592	156.9080436862245	47.4499116499072	54.83802839829793	41.92084941249317	143.47531356292515	47.634335548061706	5.138017239067793	0.1000079719387755	86	0.0017139668367346	0.5119778380102041	298.7093023255814	153.0	389.2127076213364	0.7309552439739552	0.8037008519066972	100.40821665709032	-0.3423174018555341	1.2439217441516848	2.7134836	6.122084
LYM-TCGA-AGDQANVL	LYM-TCGA-AGDQANVL.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AGDQANVL.tif	159.6610331632653	103.55135921556122	155.16872608418367	42.9619595404472	52.59470769392628	39.03608075083956	139.46037282100338	44.45053635927743	5.013887252960441	0.1000079719387755	51	0.0010164221938775	0.5633968431122449	554.2941176470588	257.0	826.015270573311	0.803606916657191	0.7409389266797155	180.02205730339213	-2.4159975214496714	1.186136399070907	15.324747	5.7875404
LYM-TCGA-AHVYIAAM	LYM-TCGA-AHVYIAAM.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AHVYIAAM.tif	212.48373724489795	177.13149713010205	204.3921396683673	42.74914842286264	62.895147294615725	44.11274957584493	198.00245801445573	49.55733735671257	4.824946798347445	0.0999880420918367	109	0.0021723533163265	0.1476602359693877	67.97247706422019	63.0	41.76967398132711	0.6373839850303122	0.8713621382106012	33.09344193708348	5.235777756719815	0.18480867939701603	-5.3703613	5.27855
LYM-TCGA-AIVQRVDG	LYM-TCGA-AIVQRVDG.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AIVQRVDG.tif	210.6815210459184	172.6115872130102	201.7343351403061	42.77315307631039	59.53751075587245	42.12499685082865	195.0091477997449	47.78491335294733	4.981393972934632	0.1000079719387755	120	0.002391581632653	0.1500717474489795	62.75	61.0	28.47989056626915	0.6754290035324516	0.8468408263562146	31.392964449088133	5.035853194202503	-0.1851842794297207	-5.0761175	5.1176167
LYM-TCGA-AKGHMWKD	LYM-TCGA-AKGHMWKD.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AKGHMWKD.tif	149.8728874362245	87.06385522959184	141.7403340242347	41.73079258373292	45.68202584178655	36.68983577486955	126.22569223001702	40.932429794597056	4.944292324418338	0.1000079719387755	48	0.0009566326530612	0.5856983418367347	612.25	97.5	2455.1900766539443	0.7508176175276198	0.7526550674018567	175.52732598437288	-3.8156995380074816	1.13283158964199	15.477918	4.7752876
LYM-TCGA-AKTERMWV	LYM-TCGA-AKTERMWV.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-AKTERMWV.tif	214.28318319515307	179.8075573979592	206.38454639668367	41.40737297523692	60.02991882903416	41.82912150782026	200.15842899659864	47.42005061188111	4.872891726312224	0.1000079719387755	119	0.0023716517857142	0.170539700255102	71.90756302521008	65.0	41.40312000516379	0.7044018752261546	0.8440446645611968	34.85353776028132	5.113138520260524	-0.32512595710805997	-5.26099	5.1625876
LYM-TCGA-ALLEFAMW	LYM-TCGA-ALLEFAMW.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-ALLEFAMW.tif	190.8977200255102	136.75245137117346	177.47945232780611	45.475292786843774	53.5087036430789	39.60349679275917	168.37654124149657	45.8208521901095	5.155874638565068	0.0999880420918367	194	0.0038663903061224	0.2953005420918367	76.37628865979381	70.0	44.48847475724419	0.6947066231146442	0.8652637720037661	35.47152524732716	3.7373157834511694	-0.417649893268744	0.08057944	5.929096
LYM-TCGA-ALMSHWVW	LYM-TCGA-ALMSHWVW.tif	LYM	data/raw/crc_val_7k/CRC-VAL-HE-7K/LYM/LYM-TCGA-ALMSHWVW.tif	206.07954001913265	167.9388352997449	198.5761120854592	45.85634133783172	62.30793628341878	44.13033598205686	190.8648291347789	50.42966917745487	5.063208782308813	0.1000079719387755	168	0.0033482142857142	0.1989198022959183	59.410714285714285	57.0	31.76838244700728	0.628664223523526	0.8642573295616583	29.84256423177347	5.724991263953021	0.29853395979810843	-3.5972202	5.3661737
