image_id	filename	label	path	mean_r	mean_g	mean_b	std_r	std_g	std_b	mean_intensity	std_intensity	entropy	edge_density	nuclei_count	nuclei_density	nuclear_area_fraction	mean_nucleus_area	median_nucleus_area	std_nucleus_area	mean_nucleus_eccentricity	mean_nucleus_solidity	mean_nucleus_perimeter	dist_to_tum	dist_to_str	tumour_stroma_balance	group
TUM-TCGA-KYPIYAGQ	TUM-TCGA-KYPIYAGQ.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-KYPIYAGQ.tif	171.0979551977041	102.28290417729592	155.51903300382654	33.70655318070784	31.284694763079766	24.797208371873893	142.96663079294217	29.34214780161963	4.789816147224018	0.1000079719387755	63	0.0012555803571428	0.3163066007653061	251.9206349206349	66.0	558.9741539752042	0.8390872738668113	0.6167191281382438	140.32880212786085	3.7510896103439517	3.754193900102923	0.003104289758971479	interface
TUM-TCGA-CLVNGWNI	TUM-TCGA-CLVNGWNI.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-CLVNGWNI.tif	164.4479830994898	95.28864397321428	150.0289381377551	30.30941436926616	28.80971939515188	23.07598828410746	136.58852173681973	26.766868094843648	4.684990708442648	0.1000079719387755	71	0.001415019132653	0.353156887755102	249.5774647887324	48.0	562.147458524867	0.8281475911529245	0.6580394356808237	125.93561056669674	4.317515620979431	4.321937730829621	0.004422109850190203	interface
TUM-TCGA-DHDQRSTK	TUM-TCGA-DHDQRSTK.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-DHDQRSTK.tif	197.04510124362244	146.80436862244898	185.4592633928572	40.36661870617113	58.714114583490925	40.7406220463712	176.43624441964286	46.03441382942889	5.058519505138056	0.0999880420918367	50	0.0009964923469387	0.2606624681122449	261.58	52.5	670.7061380366218	0.8159167303764099	0.6973475193354548	98.645574259986	3.190847088964684	3.1852000000549663	0.005647088909717546	interface
TUM-TCGA-DLIRLRLL	TUM-TCGA-DLIRLRLL.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-DLIRLRLL.tif	170.0372688137755	100.21265146683672	153.77834024234693	33.8567785742128	33.34988730768494	25.752889356179686	141.34275350765307	30.25187338151774	4.794647066935149	0.0999880420918367	68	0.0013552295918367	0.3223852040816326	237.8823529411765	60.5	651.0193484386792	0.8520492156638766	0.662985188439624	124.98111147170232	3.4098377608134816	3.401976282058517	0.00786147875496468	interface
TUM-TCGA-TNTIVLYC	TUM-TCGA-TNTIVLYC.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-TNTIVLYC.tif	181.73080755739795	118.04175302933672	166.07471699617346	43.31270453615479	48.85814745946176	36.81517459954832	155.28242586096937	42.36706407337591	5.13186439909958	0.1000079719387755	109	0.0021723533163265	0.2838408801020408	130.6605504587156	72.0	147.53169276578913	0.805365365806914	0.7183443244718628	65.66816689009421	3.744092223141663	3.759240133816065	0.01514791067440191	interface
TUM-TCGA-PINVRKYI	TUM-TCGA-PINVRKYI.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-PINVRKYI.tif	172.97283561862244	105.86499521683672	161.79488201530611	39.55142034393531	41.70773197718214	32.852544480519285	146.8775709502551	37.24136273950105	5.000570713676556	0.1000079719387755	105	0.0020926339285714	0.3181002869897959	152.0095238095238	90.0	170.1106919871431	0.8141052033440545	0.7477829382730545	66.6962701486983	3.4210209035510077	3.438038308604275	0.01701740505326743	interface
TUM-TCGA-VVWTVCVM	TUM-TCGA-VVWTVCVM.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-VVWTVCVM.tif	172.87209024234693	107.40981744260203	158.8458027742347	39.618260516961314	41.96493301265774	32.04028399733852	146.37590348639458	37.15836740554547	4.997229604739675	0.1000079719387755	97	0.0019331951530612	0.2939453125	152.05154639175257	56.0	322.47641554086226	0.8393715466848807	0.635717916474793	86.9690598484814	3.5930054525645954	3.5758426865425372	0.01716276602205813	interface
TUM-TCGA-VPTFVRGH	TUM-TCGA-VPTFVRGH.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-VPTFVRGH.tif	171.00167410714286	100.7796556122449	153.98826132015307	32.0217939188539	29.748788063914528	24.2711222270686	141.92319701318027	28.09399491084361	4.743030310247797	0.1000079719387755	57	0.0011360012755102	0.3403419961734694	299.5964912280702	80.0	728.8844121693631	0.8767688786439717	0.6395286965701527	156.21748808671737	4.015197208995294	3.9968375983735926	0.018359610621700995	interface
TUM-TCGA-CQIWAHAK	TUM-TCGA-CQIWAHAK.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-CQIWAHAK.tif	174.3358378507653	105.98220264668367	158.1053093112245	37.570220127876894	38.75855760174437	30.37863785534859	146.14111660289117	34.83367920197916	4.946588761377738	0.0999880420918367	80	0.001594387755102	0.3129583864795918	196.2875	90.5	311.8129324510932	0.8422770860070287	0.7583259902520025	79.7575468531916	2.82916627894352	2.85135417294362	0.022187894000099906	interface
TUM-TCGA-QPIAIIKY	TUM-TCGA-QPIAIIKY.tif	TUM	data/raw/crc_val_7k/CRC-VAL-HE-7K/TUM/TUM-TCGA-QPIAIIKY.tif	169.7815090880102	103.08695392219389	155.62856744260205	36.52860414362746	36.2265377593125	28.410809902720462	142.8323434842687	33.11653106578128	4.902105858297976	0.0999681122448979	78	0.0015545280612244	0.3130181760204081	201.3589743589744	45.5	474.7505680951212	0.8379532036411224	0.6262910771504905	117.51003388813162	3.267767456848848	3.2966392113538414	0.02887175450499324	interface
